batter,total_runs,total_balls,dismissals,strike_rate,average
A Ashish Reddy,280,196,15,142.86,18.67
A Badoni,1178,885,45,133.11,26.18
A Chandila,4,7,0,57.14,4.0
A Chopra,53,75,5,70.67,10.6
A Choudhary,25,20,1,125.0,25.0
A Dananjaya,4,5,0,80.0,4.0
A Flintoff,62,57,2,108.77,31.0
A Kamboj,74,55,3,134.55,24.67
A Kumble,35,49,2,71.43,17.5
A Manohar,292,243,19,120.16,15.37
A Mhatre,441,250,12,176.4,36.75
A Mishra,381,440,28,86.59,13.61
A Mithun,34,26,5,130.77,6.8
A Mukund,19,23,2,82.61,9.5
A Nehra,41,63,6,65.08,6.83
A Nortje,49,52,6,94.23,8.17
A Raghuvanshi,885,628,24,140.92,36.88
A Singh,2,10,4,20.0,0.5
A Symonds,974,781,24,124.71,40.58
A Tomar,4,8,1,50.0,4.0
A Uniyal,4,7,1,57.14,4.0
A Zampa,15,25,5,60.0,3.0
AA Bilakhia,69,88,5,78.41,13.8
AA Chavan,12,11,1,109.09,12.0
AA Jhunjhunwala,217,218,12,99.54,18.08
AA Kulkarni,26,33,4,78.79,6.5
AA Noffke,9,12,1,75.0,9.0
AB Agarkar,179,160,8,111.87,22.38
AB Barath,42,43,2,97.67,21.0
AB Dinda,26,50,9,52.0,2.89
AB McDonald,123,103,5,119.42,24.6
AB de Villiers,5181,3487,122,148.58,42.47
AC Blizzard,120,91,7,131.87,17.14
AC Gilchrist,2069,1555,75,133.05,27.59
AC Thomas,20,19,2,105.26,10.0
AC Voges,181,143,4,126.57,45.25
AD Hales,148,119,6,124.37,24.67
AD Mascarenhas,79,79,9,100.0,8.78
AD Mathews,724,599,28,120.87,25.86
AD Nath,90,99,10,90.91,9.0
AD Russell,2655,1626,90,163.28,29.5
AF Milne,25,33,4,75.76,6.25
AG Murtaza,10,14,1,71.43,10.0
AG Paunikar,49,61,5,80.33,9.8
AJ Finch,2092,1696,82,123.35,25.51
AJ Hosein,21,14,0,150.0,21.0
AJ Turner,24,31,5,77.42,4.8
AJ Tye,91,79,8,115.19,11.38
AK Markram,1671,1264,55,132.2,30.38
AL Menaria,401,367,21,109.26,19.1
AM Ghazanfar,2,3,0,66.67,2.0
AM Nayar,672,588,36,114.29,18.67
AM Rahane,5367,4391,172,122.23,31.2
AN Ahmed,36,27,1,133.33,36.0
AN Ghosh,7,8,2,87.5,3.5
AP Dole,34,23,2,147.83,17.0
AP Majumdar,87,77,4,112.99,21.75
AP Tare,339,285,24,118.95,14.12
AR Bawne,12,12,0,100.0,12.0
AR Patel,2089,1635,94,127.77,22.22
AS Joseph,27,32,1,84.38,27.0
AS Rajpoot,26,41,4,63.41,6.5
AS Raut,194,172,9,112.79,21.56
AS Roy,78,66,8,118.18,9.75
AS Yadav,49,40,5,122.5,9.8
AT Carey,32,29,2,110.34,16.0
AT Rayudu,4348,3490,148,124.58,29.38
AU Rashid,22,17,2,129.41,11.0
AUK Pathan,39,26,5,150.0,7.8
Abdul Basith,1,1,0,100.0,1.0
Abdul Samad,859,598,44,143.65,19.52
Abdur Razzak,0,2,0,0.0,0.0
Abhishek Sharma,2379,1471,80,161.73,29.74
Abishek Porel,769,548,30,140.33,25.63
Akash Deep,25,14,3,178.57,8.33
Akash Madhwal,8,14,0,57.14,8.0
Akshat Raghuwanshi,29,27,2,107.41,14.5
Aman Hakim Khan,115,109,9,105.5,12.78
Aniket Verma,315,205,14,153.66,22.5
Anirudh Singh,63,69,4,91.3,15.75
Ankit Sharma,87,69,7,126.09,12.43
Ankit Soni,7,9,2,77.78,3.5
Anmolpreet Singh,139,117,9,118.8,15.44
Anuj Rawat,318,276,14,115.22,22.71
Anureet Singh,36,47,4,76.6,9.0
Arjun Tendulkar,18,14,1,128.57,18.0
Arshad Khan,142,102,6,139.22,23.67
