bowler,total_balls,total_runs,total_wickets,overs,economy,bowling_avg
A Ashish Reddy,270,400,19,45.0,8.89,21.05
A Badoni,41,64,4,6.8,9.41,16.0
A Chandila,234,245,11,39.0,6.28,22.27
A Choudhary,108,144,5,18.0,8.0,28.8
A Dananjaya,25,47,0,4.2,11.19,47.0
A Flintoff,66,106,2,11.0,9.64,53.0
A Kamboj,513,823,34,85.5,9.63,24.21
A Kumble,983,1089,49,163.8,6.65,22.22
A Mishra,3444,4193,183,574.0,7.3,22.91
A Mithun,312,477,8,52.0,9.17,59.62
A Nehra,1974,2537,121,329.0,7.71,20.97
A Nel,18,31,1,3.0,10.33,31.0
A Nortje,1169,1740,63,194.8,8.93,27.62
A Singh,486,639,31,81.0,7.89,20.61
A Symonds,540,694,23,90.0,7.71,30.17
A Uniyal,38,67,3,6.3,10.63,22.33
A Zampa,475,656,32,79.2,8.28,20.5
AA Chavan,255,339,8,42.5,7.98,42.38
AA Jhunjhunwala,88,130,1,14.7,8.84,130.0
AA Kazi,13,21,1,2.2,9.55,21.0
AA Noffke,25,41,1,4.2,9.76,41.0
AB Agarkar,820,1174,33,136.7,8.59,35.58
AB Dinda,1589,2103,82,264.8,7.94,25.65
AB McDonald,188,263,14,31.3,8.4,18.79
AC Gilchrist,1,0,1,0.2,0.0,0.0
AC Thomas,327,416,16,54.5,7.63,26.0
AC Voges,56,76,1,9.3,8.17,76.0
AD Mascarenhas,310,365,19,51.7,7.06,19.21
AD Mathews,807,1095,28,134.5,8.14,39.11
AD Russell,1885,2909,133,314.2,9.26,21.87
AF Milne,238,381,9,39.7,9.6,42.33
AG Murtaza,269,322,12,44.8,7.19,26.83
AJ Finch,44,67,1,7.3,9.18,67.0
AJ Hosein,175,239,10,29.2,8.18,23.9
AJ Tye,714,1005,48,119.0,8.45,20.94
AK Markram,230,358,6,38.3,9.35,59.67
AL Menaria,113,144,3,18.8,7.66,48.0
AM Ghazanfar,237,390,15,39.5,9.87,26.0
AM Nayar,239,323,9,39.8,8.12,35.89
AM Rahane,6,5,1,1.0,5.0,5.0
AM Salvi,156,205,7,26.0,7.88,29.29
AN Ahmed,362,515,15,60.3,8.54,34.33
AP Dole,73,114,5,12.2,9.34,22.8
AR Patel,3639,4503,148,606.5,7.42,30.43
AS Joseph,454,707,22,75.7,9.34,32.14
AS Rajpoot,567,844,24,94.5,8.93,35.17
AS Raut,30,45,0,5.0,9.0,45.0
AS Roy,351,482,17,58.5,8.24,28.35
AU Rashid,60,91,2,10.0,9.1,45.5
AUK Pathan,41,63,0,6.8,9.26,63.0
Abdul Samad,58,125,2,9.7,12.89,62.5
Abdur Razzak,14,29,0,2.3,12.61,29.0
Abhinandan Singh,60,122,3,10.0,12.2,40.67
Abhishek Sharma,374,558,11,62.3,8.96,50.73
Akash Deep,302,554,11,50.3,11.01,50.36
Akash Madhwal,376,598,26,62.7,9.54,23.0
Akash Singh,256,406,13,42.7,9.51,31.23
Aman Hakim Khan,6,13,0,1.0,13.0,13.0
Anand Rajan,162,206,10,27.0,7.63,20.6
Ankit Sharma,375,453,12,62.5,7.25,37.75
Ankit Soni,112,145,4,18.7,7.75,36.25
Anureet Singh,430,636,21,71.7,8.87,30.29
Arjun Tendulkar,107,153,5,17.8,8.6,30.6
Arshad Khan,400,675,20,66.7,10.12,33.75
Arshad Khan (2),13,25,0,2.2,11.36,25.0
Arshdeep Singh,2167,3166,120,361.2,8.77,26.38
Ashok Sharma,136,233,6,22.7,10.26,38.83
Ashwani Kumar,196,336,17,32.7,10.28,19.76
Atharva Taide,1,4,0,0.2,20.0,4.0
Auqib Nabi,84,151,0,14.0,10.79,151.0
Avesh Khan,1840,2775,100,306.7,9.05,27.75
Azhar Mahmood,552,707,31,92.0,7.68,22.81
Azmatullah Omarzai,369,579,15,61.5,9.41,38.6
B Akhil,193,246,7,32.2,7.64,35.14
B Chipli,6,20,0,1.0,20.0,20.0
B Geeves,49,91,2,8.2,11.1,45.5
B Kumar,4769,6045,243,794.8,7.61,24.88
B Laughlin,179,284,10,29.8,9.53,28.4
B Lee,916,1126,30,152.7,7.37,37.53
B Muzarabani,44,79,5,7.3,10.82,15.8
B Stanlake,150,200,7,25.0,8.0,28.57
BA Bhatt,303,408,13,50.5,8.08,31.38
BA Stokes,723,1023,31,120.5,8.49,33.0
BAW Mendis,248,306,9,41.3,7.41,34.0
BB Sran,516,767,20,86.0,8.92,38.35
BCJ Cutting,288,430,12,48.0,8.96,35.83
BE Hendricks,157,239,11,26.2,9.12,21.73
BJ Dwarshuis,26,51,2,4.3,11.86,25.5
BJ Hodge,238,310,18,39.7,7.81,17.22
BJ Rohrer,7,12,0,1.2,10.0,12.0
BMAJ Mendis,30,36,1,5.0,7.2,36.0
BW Hilfenhaus,390,497,23,65.0,7.65,21.61
Basil Thampi,539,862,26,89.8,9.6,33.15
Bipul Sharma,436,581,22,72.7,7.99,26.41
Brijesh Sharma,297,452,14,49.5,9.13,32.29
C Bosch,171,253,14,28.5,8.88,18.07
C Ganapathy,6,13,0,1.0,13.0,13.0
C Green,603,916,27,100.5,9.11,33.93
C Munro,12,15,0,2.0,7.5,15.0
C Nanda,50,58,2,8.3,6.99,29.0
C Sakariya,479,649,20,79.8,8.13,32.45
C de Grandhomme,230,323,7,38.3,8.43,46.14
CH Gayle,584,755,19,97.3,7.76,39.74
CH Morris,1801,2377,107,300.2,7.92,22.21
CJ Anderson,315,525,14,52.5,10.0,37.5
CJ Dala,19,34,0,3.2,10.62,34.0
CJ Green,17,24,0,2.8,8.57,24.0
CJ Jordan,717,1111,36,119.5,9.3,30.86
CJ McKay,42,60,1,7.0,8.57,60.0
CK Kapugedera,17,49,0,2.8,17.5,49.0
CK Langeveldt,165,199,13,27.5,7.24,15.31
CL White,46,86,1,7.7,11.17,86.0
CR Brathwaite,266,384,16,44.3,8.67,24.0
CR Woakes,463,674,31,77.2,8.73,21.74
CRD Fernando,249,306,19,41.5,7.37,16.11
CV Varun,2187,2795,114,364.5,7.67,24.52
D Brevis,3,8,1,0.5,16.0,8.0
D Ferreira,18,41,1,3.0,13.67,41.0
D Jansen,28,53,1,4.7,11.28,53.0
D Kalyankrishna,50,88,2,8.3,10.6,44.0
D Madushanka,28,36,1,4.7,7.66,36.0
D Pretorius,166,242,7,27.7,8.74,34.57
D Salunkhe,51,80,1,8.5,9.41,80.0
D Wiese,307,447,17,51.2,8.73,26.29
D du Preez,43,56,4,7.2,7.78,14.0
DA Payne,31,70,2,5.2,13.46,35.0
DA Warner,2,2,0,0.3,6.67,2.0
DAJ Bracewell,25,32,3,4.2,7.62,10.67
DB Ravi Teja,18,28,1,3.0,9.33,28.0
DE Bollinger,600,716,43,100.0,7.16,16.65
DG Nalkande,89,150,6,14.8,10.14,25.0
DJ Bravo,3296,4436,207,549.3,8.08,21.43
DJ Harris,18,26,0,3.0,8.67,26.0
DJ Hooda,391,550,10,65.2,8.44,55.0
DJ Hussey,323,485,10,53.8,9.01,48.5
DJ Mitchell,51,97,1,8.5,11.41,97.0
DJ Muthuswami,84,108,4,14.0,7.71,27.0
DJ Thornely,44,40,3,7.3,5.48,13.33
DJ Willey,221,277,7,36.8,7.53,39.57
DJG Sammy,244,354,14,40.7,8.7,25.29
DJM Short,18,23,1,3.0,7.67,23.0
DL Chahar,2171,2890,99,361.8,7.99,29.19
DL Vettori,785,894,34,130.8,6.83,26.29
DNT Zoysa,69,100,2,11.5,8.7,50.0
DP Nannes,689,815,38,114.8,7.1,21.45
DP Vijaykumar,159,205,4,26.5,7.74,51.25
DR Sams,389,528,15,64.8,8.15,35.2
DR Smith,557,825,27,92.8,8.89,30.56
DS Kulkarni,1876,2513,91,312.7,8.04,27.62
DS Rathi,561,834,19,93.5,8.92,43.89
DT Christian,922,1218,40,153.7,7.92,30.45
DW Steyn,2282,2583,105,380.3,6.79,24.6
E Malinga,516,754,35,86.0,8.77,21.54
F du Plessis,6,16,0,1.0,16.0,16.0
FA Allen,91,136,2,15.2,8.95,68.0
FH Edwards,150,160,6,25.0,6.4,26.67
FY Fazal,12,20,1,2.0,10.0,20.0
Fazalhaq Farooqi,266,440,6,44.3,9.93,73.33
G Coetzee,292,490,15,48.7,10.06,32.67
GB Hogg,466,585,25,77.7,7.53,23.4
GC Viljoen,146,229,8,24.3,9.42,28.62
GD McGrath,329,366,14,54.8,6.68,26.14
GD Phillips,31,40,2,5.2,7.69,20.0
GF Linde,37,55,1,6.2,8.87,55.0
GH Vihari,43,48,1,7.2,6.67,48.0
