season,champion,match_id
2008,Rajasthan Royals,336040
2009,Deccan Chargers,392239
2010,Chennai Super Kings,419165
2011,Chennai Super Kings,501271
2012,Kolkata Knight Riders,548381
2013,Mumbai Indians,598073
2014,Kolkata Knight Riders,734049
2015,Mumbai Indians,829823
2016,Sunrisers Hyderabad,981019
2017,Mumbai Indians,1082650
2018,Chennai Super Kings,1136620
2019,Mumbai Indians,1181768
2020,Mumbai Indians,1237181
2021,Chennai Super Kings,1254117
2022,Gujarat Titans,1312200
2023,Chennai Super Kings,1370353
2024,Kolkata Knight Riders,1426312
2025,Royal Challengers Bengaluru,1473511
2026,Royal Challengers Bengaluru,1535465
