match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,season,h2h_win_rate,team1_recent_form,team2_recent_form,bat_first,team1_encoded,team2_encoded,toss_winner_encoded,winner_encoded,venue_encoded
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,140,0,BB McCullum,2008,0.5,0.5,0.5,0,14,6,14,6,23
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,33,0,MEK Hussey,2008,0.5,0.5,0.5,1,11,0,0,0,41
335984,2008-04-19,Feroz Shah Kotla,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,0,9,MF Maharoof,2008,0.5,0.5,0.5,1,2,12,12,2,16
335986,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,0,5,DJ Hussey,2008,0.5,1.0,0.5,1,6,1,1,6,14
335985,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,0,5,MV Boucher,2008,0.5,0.5,0.0,1,8,14,8,14,57
335987,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,6,SR Watson,2008,0.5,0.0,0.0,1,12,11,11,12,47
335988,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,9,V Sehwag,2008,0.5,0.0,1.0,1,1,2,1,2,43
335989,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6,0,ML Hayden,2008,0.5,1.0,0.0,0,0,8,8,0,27
335990,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,YK Pathan,2008,0.5,0.0,0.5,0,1,12,12,12,43
335991,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,66,0,KC Sangakkara,2008,0.5,0.0,0.0,0,11,8,8,11,41
335993,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,JDP Oram,2008,0.5,1.0,1.0,1,0,6,6,0,27
335992,2008-04-26,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,SR Watson,2008,0.5,0.5,0.6666666666666666,0,14,12,12,12,23
335994,2008-04-27,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,10,AC Gilchrist,2008,0.5,0.0,0.0,0,8,1,1,1,9
335995,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,0,4,SM Katich,2008,0.5,0.3333333333333333,1.0,1,11,2,2,11,41
335996,2008-04-28,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,13,0,MS Dhoni,2008,0.5,0.3333333333333333,1.0,1,14,0,0,0,23
335997,2008-04-29,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,7,ST Jayasuriya,2008,0.5,0.6666666666666666,0.0,1,6,8,6,8,14
335998,2008-04-30,Feroz Shah Kotla,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,10,0,GD McGrath,2008,0.5,0.6666666666666666,0.25,0,2,14,14,2,16
335999,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,Punjab Kings,Punjab Kings,field,Punjab Kings,0,7,SE Marsh,2008,0.5,0.25,0.5,0,1,11,11,11,43
336000,2008-05-01,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,45,0,SA Asnodkar,2008,0.5,0.75,0.5,1,12,6,12,12,47
336001,2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,0,8,V Sehwag,2008,0.5,1.0,0.75,1,0,2,0,2,27
336034,2008-05-03,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bengaluru,3,0,P Kumar,2008,0.5,0.2,0.2,0,14,1,1,14,23
336003,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,9,0,IK Pathan,2008,0.5,0.6,0.4,1,11,6,11,11,41
336004,2008-05-04,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,29,0,SM Pollock,2008,0.5,0.2,0.8,0,8,2,2,8,9
336005,2008-05-04,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,0,8,Sohail Tanvir,2008,0.5,0.8,0.8,1,12,0,0,12,47
336006,2008-05-05,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,0,6,S Sreesanth,2008,0.5,0.4,0.8,0,14,11,11,11,23
336007,2008-05-06,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,7,AC Gilchrist,2008,0.5,0.6,0.2,0,0,1,1,1,27
336008,2008-05-07,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0,7,A Nehra,2008,0.5,0.4,1.0,0,8,12,8,8,9
336010,2008-05-08,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,SC Ganguly,2008,1.0,0.2,0.2,1,6,14,6,6,14
