type,entity,season,text
career_batting,A Ashish Reddy,all,"IPL career batting stats for A Ashish Reddy: 280 runs, 193 balls faced, 15 dismissals, strike rate 145.08, batting average 18.67."
career_batting,A Badoni,all,"IPL career batting stats for A Badoni: 1178 runs, 836 balls faced, 46 dismissals, strike rate 140.91, batting average 25.61."
career_batting,A Chandila,all,"IPL career batting stats for A Chandila: 4 runs, 7 balls faced, 0 dismissals, strike rate 57.14, batting average not available."
career_batting,A Chopra,all,"IPL career batting stats for A Chopra: 53 runs, 71 balls faced, 6 dismissals, strike rate 74.65, batting average 8.83."
career_batting,A Choudhary,all,"IPL career batting stats for A Choudhary: 25 runs, 20 balls faced, 1 dismissals, strike rate 125.00, batting average 25.00."
career_batting,A Dananjaya,all,"IPL career batting stats for A Dananjaya: 4 runs, 5 balls faced, 0 dismissals, strike rate 80.00, batting average not available."
career_batting,A Flintoff,all,"IPL career batting stats for A Flintoff: 62 runs, 53 balls faced, 2 dismissals, strike rate 116.98, batting average 31.00."
career_batting,A Kamboj,all,"IPL career batting stats for A Kamboj: 74 runs, 52 balls faced, 3 dismissals, strike rate 142.31, batting average 24.67."
career_batting,A Kumble,all,"IPL career batting stats for A Kumble: 35 runs, 47 balls faced, 3 dismissals, strike rate 74.47, batting average 11.67."
career_batting,A Manohar,all,"IPL career batting stats for A Manohar: 292 runs, 235 balls faced, 19 dismissals, strike rate 124.26, batting average 15.37."
career_batting,A Mhatre,all,"IPL career batting stats for A Mhatre: 441 runs, 240 balls faced, 13 dismissals, strike rate 183.75, batting average 33.92."
career_batting,A Mishra,all,"IPL career batting stats for A Mishra: 381 runs, 419 balls faced, 32 dismissals, strike rate 90.93, batting average 11.91."
career_batting,A Mithun,all,"IPL career batting stats for A Mithun: 34 runs, 26 balls faced, 5 dismissals, strike rate 130.77, batting average 6.80."
career_batting,A Mukund,all,"IPL career batting stats for A Mukund: 19 runs, 22 balls faced, 2 dismissals, strike rate 86.36, batting average 9.50."
career_batting,A Nehra,all,"IPL career batting stats for A Nehra: 41 runs, 62 balls faced, 7 dismissals, strike rate 66.13, batting average 5.86."
career_batting,A Nortje,all,"IPL career batting stats for A Nortje: 49 runs, 50 balls faced, 7 dismissals, strike rate 98.00, batting average 7.00."
career_batting,A Raghuvanshi,all,"IPL career batting stats for A Raghuvanshi: 885 runs, 608 balls faced, 26 dismissals, strike rate 145.56, batting average 34.04."
career_batting,A Singh,all,"IPL career batting stats for A Singh: 2 runs, 10 balls faced, 4 dismissals, strike rate 20.00, batting average 0.50."
career_batting,A Symonds,all,"IPL career batting stats for A Symonds: 974 runs, 750 balls faced, 27 dismissals, strike rate 129.87, batting average 36.07."
career_batting,A Tomar,all,"IPL career batting stats for A Tomar: 4 runs, 8 balls faced, 1 dismissals, strike rate 50.00, batting average 4.00."
career_batting,A Uniyal,all,"IPL career batting stats for A Uniyal: 4 runs, 7 balls faced, 1 dismissals, strike rate 57.14, batting average 4.00."
career_batting,A Zampa,all,"IPL career batting stats for A Zampa: 15 runs, 24 balls faced, 5 dismissals, strike rate 62.50, batting average 3.00."
career_batting,AA Bilakhia,all,"IPL career batting stats for AA Bilakhia: 69 runs, 85 balls faced, 5 dismissals, strike rate 81.18, batting average 13.80."
career_batting,AA Chavan,all,"IPL career batting stats for AA Chavan: 12 runs, 11 balls faced, 2 dismissals, strike rate 109.09, batting average 6.00."
career_batting,AA Jhunjhunwala,all,"IPL career batting stats for AA Jhunjhunwala: 217 runs, 210 balls faced, 13 dismissals, strike rate 103.33, batting average 16.69."
career_batting,AA Kulkarni,all,"IPL career batting stats for AA Kulkarni: 26 runs, 33 balls faced, 4 dismissals, strike rate 78.79, batting average 6.50."
career_batting,AA Noffke,all,"IPL career batting stats for AA Noffke: 9 runs, 10 balls faced, 1 dismissals, strike rate 90.00, batting average 9.00."
career_batting,AB Agarkar,all,"IPL career batting stats for AB Agarkar: 179 runs, 154 balls faced, 10 dismissals, strike rate 116.23, batting average 17.90."
career_batting,AB Barath,all,"IPL career batting stats for AB Barath: 42 runs, 42 balls faced, 2 dismissals, strike rate 100.00, batting average 21.00."
career_batting,AB Dinda,all,"IPL career batting stats for AB Dinda: 26 runs, 48 balls faced, 10 dismissals, strike rate 54.17, batting average 2.60."
career_batting,AB McDonald,all,"IPL career batting stats for AB McDonald: 123 runs, 100 balls faced, 5 dismissals, strike rate 123.00, batting average 24.60."
career_batting,AB de Villiers,all,"IPL career batting stats for AB de Villiers: 5162 runs, 3403 balls faced, 130 dismissals, strike rate 151.69, batting average 39.71."
career_batting,AC Blizzard,all,"IPL career batting stats for AC Blizzard: 120 runs, 90 balls faced, 7 dismissals, strike rate 133.33, batting average 17.14."
career_batting,AC Gilchrist,all,"IPL career batting stats for AC Gilchrist: 2069 runs, 1495 balls faced, 76 dismissals, strike rate 138.39, batting average 27.22."
career_batting,AC Thomas,all,"IPL career batting stats for AC Thomas: 20 runs, 19 balls faced, 2 dismissals, strike rate 105.26, batting average 10.00."
career_batting,AC Voges,all,"IPL career batting stats for AC Voges: 181 runs, 143 balls faced, 4 dismissals, strike rate 126.57, batting average 45.25."
career_batting,AD Hales,all,"IPL career batting stats for AD Hales: 148 runs, 118 balls faced, 6 dismissals, strike rate 125.42, batting average 24.67."
career_batting,AD Mascarenhas,all,"IPL career batting stats for AD Mascarenhas: 79 runs, 78 balls faced, 9 dismissals, strike rate 101.28, batting average 8.78."
career_batting,AD Mathews,all,"IPL career batting stats for AD Mathews: 724 runs, 575 balls faced, 31 dismissals, strike rate 125.91, batting average 23.35."
career_batting,AD Nath,all,"IPL career batting stats for AD Nath: 90 runs, 98 balls faced, 10 dismissals, strike rate 91.84, batting average 9.00."
career_batting,AD Russell,all,"IPL career batting stats for AD Russell: 2651 runs, 1522 balls faced, 94 dismissals, strike rate 174.18, batting average 28.20."
career_batting,AF Milne,all,"IPL career batting stats for AF Milne: 25 runs, 31 balls faced, 4 dismissals, strike rate 80.65, batting average 6.25."
career_batting,AG Murtaza,all,"IPL career batting stats for AG Murtaza: 10 runs, 14 balls faced, 1 dismissals, strike rate 71.43, batting average 10.00."
career_batting,AG Paunikar,all,"IPL career batting stats for AG Paunikar: 49 runs, 58 balls faced, 5 dismissals, strike rate 84.48, batting average 9.80."
career_batting,AJ Finch,all,"IPL career batting stats for AJ Finch: 2091 runs, 1631 balls faced, 84 dismissals, strike rate 128.20, batting average 24.89."
career_batting,AJ Hosein,all,"IPL career batting stats for AJ Hosein: 21 runs, 13 balls faced, 0 dismissals, strike rate 161.54, batting average not available."
career_batting,AJ Turner,all,"IPL career batting stats for AJ Turner: 24 runs, 28 balls faced, 5 dismissals, strike rate 85.71, batting average 4.80."
career_batting,AJ Tye,all,"IPL career batting stats for AJ Tye: 91 runs, 76 balls faced, 9 dismissals, strike rate 119.74, batting average 10.11."
career_batting,AK Markram,all,"IPL career batting stats for AK Markram: 1671 runs, 1233 balls faced, 55 dismissals, strike rate 135.52, batting average 30.38."
career_batting,AL Menaria,all,"IPL career batting stats for AL Menaria: 401 runs, 356 balls faced, 21 dismissals, strike rate 112.64, batting average 19.10."
career_batting,AM Ghazanfar,all,"IPL career batting stats for AM Ghazanfar: 2 runs, 3 balls faced, 0 dismissals, strike rate 66.67, batting average not available."
career_batting,AM Nayar,all,"IPL career batting stats for AM Nayar: 672 runs, 577 balls faced, 38 dismissals, strike rate 116.46, batting average 17.68."
career_batting,AM Rahane,all,"IPL career batting stats for AM Rahane: 5367 runs, 4273 balls faced, 178 dismissals, strike rate 125.60, batting average 30.15."
career_batting,AN Ahmed,all,"IPL career batting stats for AN Ahmed: 36 runs, 26 balls faced, 1 dismissals, strike rate 138.46, batting average 36.00."
career_batting,AN Ghosh,all,"IPL career batting stats for AN Ghosh: 7 runs, 8 balls faced, 2 dismissals, strike rate 87.50, batting average 3.50."
career_batting,AP Dole,all,"IPL career batting stats for AP Dole: 34 runs, 22 balls faced, 2 dismissals, strike rate 154.55, batting average 17.00."
career_batting,AP Majumdar,all,"IPL career batting stats for AP Majumdar: 87 runs, 76 balls faced, 4 dismissals, strike rate 114.47, batting average 21.75."
career_batting,AP Tare,all,"IPL career batting stats for AP Tare: 339 runs, 273 balls faced, 24 dismissals, strike rate 124.18, batting average 14.12."
career_batting,AR Bawne,all,"IPL career batting stats for AR Bawne: 12 runs, 12 balls faced, 0 dismissals, strike rate 100.00, batting average not available."
career_batting,AR Patel,all,"IPL career batting stats for AR Patel: 2089 runs, 1562 balls faced, 97 dismissals, strike rate 133.74, batting average 21.54."
career_batting,AS Joseph,all,"IPL career batting stats for AS Joseph: 27 runs, 32 balls faced, 1 dismissals, strike rate 84.38, batting average 27.00."
career_batting,AS Rajpoot,all,"IPL career batting stats for AS Rajpoot: 26 runs, 41 balls faced, 5 dismissals, strike rate 63.41, batting average 5.20."
career_batting,AS Raut,all,"IPL career batting stats for AS Raut: 194 runs, 167 balls faced, 9 dismissals, strike rate 116.17, batting average 21.56."
career_batting,AS Roy,all,"IPL career batting stats for AS Roy: 78 runs, 64 balls faced, 8 dismissals, strike rate 121.88, batting average 9.75."
career_batting,AS Yadav,all,"IPL career batting stats for AS Yadav: 49 runs, 39 balls faced, 5 dismissals, strike rate 125.64, batting average 9.80."
career_batting,AT Carey,all,"IPL career batting stats for AT Carey: 32 runs, 29 balls faced, 2 dismissals, strike rate 110.34, batting average 16.00."
career_batting,AT Rayudu,all,"IPL career batting stats for AT Rayudu: 4348 runs, 3409 balls faced, 155 dismissals, strike rate 127.54, batting average 28.05."
career_batting,AU Rashid,all,"IPL career batting stats for AU Rashid: 22 runs, 16 balls faced, 2 dismissals, strike rate 137.50, batting average 11.00."
career_batting,AUK Pathan,all,"IPL career batting stats for AUK Pathan: 39 runs, 23 balls faced, 5 dismissals, strike rate 169.57, batting average 7.80."
career_batting,Abdul Basith,all,"IPL career batting stats for Abdul Basith: 1 runs, 1 balls faced, 0 dismissals, strike rate 100.00, batting average not available."
career_batting,Abdul Samad,all,"IPL career batting stats for Abdul Samad: 857 runs, 576 balls faced, 44 dismissals, strike rate 148.78, batting average 19.48."
career_batting,Abdur Razzak,all,"IPL career batting stats for Abdur Razzak: 0 runs, 2 balls faced, 0 dismissals, strike rate 0.00, batting average not available."
career_batting,Abhishek Sharma,all,"IPL career batting stats for Abhishek Sharma: 2379 runs, 1389 balls faced, 81 dismissals, strike rate 171.27, batting average 29.37."
career_batting,Abishek Porel,all,"IPL career batting stats for Abishek Porel: 769 runs, 529 balls faced, 30 dismissals, strike rate 145.37, batting average 25.63."
career_batting,Akash Deep,all,"IPL career batting stats for Akash Deep: 25 runs, 14 balls faced, 3 dismissals, strike rate 178.57, batting average 8.33."
career_batting,Akash Madhwal,all,"IPL career batting stats for Akash Madhwal: 8 runs, 14 balls faced, 0 dismissals, strike rate 57.14, batting average not available."
career_batting,Akshat Raghuwanshi,all,"IPL career batting stats for Akshat Raghuwanshi: 29 runs, 25 balls faced, 2 dismissals, strike rate 116.00, batting average 14.50."
career_batting,Aman Hakim Khan,all,"IPL career batting stats for Aman Hakim Khan: 115 runs, 104 balls faced, 9 dismissals, strike rate 110.58, batting average 12.78."
career_batting,Aniket Verma,all,"IPL career batting stats for Aniket Verma: 315 runs, 196 balls faced, 15 dismissals, strike rate 160.71, batting average 21.00."
career_batting,Anirudh Singh,all,"IPL career batting stats for Anirudh Singh: 63 runs, 66 balls faced, 4 dismissals, strike rate 95.45, batting average 15.75."
career_batting,Ankit Sharma,all,"IPL career batting stats for Ankit Sharma: 87 runs, 67 balls faced, 7 dismissals, strike rate 129.85, batting average 12.43."
career_batting,Ankit Soni,all,"IPL career batting stats for Ankit Soni: 7 runs, 9 balls faced, 2 dismissals, strike rate 77.78, batting average 3.50."
