match_id,season,date,team1,team2,venue,winner,player_of_match
335982,2008,2008-04-18,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,BB McCullum
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,MEK Hussey
335984,2008,2008-04-19,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi Capitals,MF Maharoof
335986,2008,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,DJ Hussey
335985,2008,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Royal Challengers Bengaluru,MV Boucher
335987,2008,2008-04-21,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Rajasthan Royals,SR Watson
335988,2008,2008-04-22,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,V Sehwag
335989,2008,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,ML Hayden
335990,2008,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,YK Pathan
335991,2008,2008-04-25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,KC Sangakkara
335993,2008,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,JDP Oram
335992,2008,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,SR Watson
335994,2008,2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,AC Gilchrist
335995,2008,2008-04-27,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,SM Katich
335996,2008,2008-04-28,Royal Challengers Bengaluru,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,MS Dhoni
