season,champion,orange_cap,orange_cap_runs,purple_cap,purple_cap_wickets
2008,Rajasthan Royals,SE Marsh,616,Sohail Tanvir,22
2009,Deccan Chargers,ML Hayden,572,RP Singh,23
2010,Chennai Super Kings,SR Tendulkar,618,PP Ojha,21
2011,Chennai Super Kings,CH Gayle,608,SL Malinga,28
2012,Kolkata Knight Riders,CH Gayle,733,M Morkel,25
2013,Mumbai Indians,MEK Hussey,733,DJ Bravo,32
2014,Kolkata Knight Riders,RV Uthappa,660,MM Sharma,23
2015,Mumbai Indians,DA Warner,562,DJ Bravo,26
2016,Sunrisers Hyderabad,V Kohli,973,B Kumar,23
2017,Mumbai Indians,DA Warner,641,B Kumar,26
2018,Chennai Super Kings,KS Williamson,735,AJ Tye,24
2019,Mumbai Indians,DA Warner,692,Imran Tahir,26
2020,Mumbai Indians,KL Rahul,670,K Rabada,30
2021,Chennai Super Kings,RD Gaikwad,635,HV Patel,32
2022,Gujarat Titans,JC Buttler,863,YS Chahal,27
2023,Chennai Super Kings,Shubman Gill,890,Mohammed Shami,28
2024,Kolkata Knight Riders,V Kohli,741,HV Patel,24
2025,Royal Challengers Bengaluru,B Sai Sudharsan,759,M Prasidh Krishna,25
2026,Royal Challengers Bengaluru,V Suryavanshi,776,K Rabada,29
